Order Number,Order Date,Order Date (year),"Order Date (month,day)",Delivery Date,Receipt Date,Completed Date,Supplier Code,Supplier Name,Order Status,SubTotal,Currency,SubTotal (GBP)
PO-00005799,2018-01-03,2018,2019-01-03,2018-01-03,2018-01-19,2018-01-19,Company1,Company1,Complete,130.75,GBP,130.75
PO-00005801,2018-01-03,2018,2019-01-03,2018-01-05,2018-01-12,2018-01-12,Company2,Company2,Complete,5610.0,EUR,4972.525
PO-00005802,2018-01-03,2018,2019-01-03,2018-01-03,2018-01-12,2018-01-12,Company3,Company3,Complete,6104.95,GBP,6104.95
PO-00005802/1,2018-01-03,2018,2019-01-03,2018-01-03,2018-02-05,2018-02-05,Company3,Company3,Complete,1540.7749999999999,GBP,1540.7749999999999
PO-00005804,2018-01-04,2018,2019-01-04,2018-01-04,2018-01-11,2018-01-11,Company4,Company4,Complete,5596.5,GBP,5596.5
PO-00005805,2018-01-04,2018,2019-01-04,2018-01-04,2018-01-11,2018-01-11,Company5,Company5,Complete,2746.125,GBP,2746.125
PO-00005806,2018-01-04,2018,2019-01-04,2018-01-04,2018-01-10,2018-01-10,Company6,Company6,Complete,32625.0,GBP,32625.0
PO-00005807,2018-01-04,2018,2019-01-04,2018-01-04,2018-01-09,2018-01-09,Company7,Company7,Complete,1021.25,GBP,1021.25
PO-00005806/1,2018-01-04,2018,2019-01-04,2018-01-29,2018-02-02,2018-02-02,Company6,Company6,Complete,10462.5,GBP,10462.5
PO-00005803/1,2018-01-05,2018,2019-01-05,2018-01-05,2018-01-22,2018-01-22,Company8,Company8,Complete,1782.55,GBP,1782.55
PO-00005810/1,2018-01-05,2018,2019-01-05,2018-01-05,2018-01-08,2018-01-08,Company8,Company8,Complete,9354.5,GBP,9354.5
PO-00005813,2018-01-05,2018,2019-01-05,2018-01-05,2018-02-08,2018-02-08,Company9,Company9,Complete,276.75,GBP,276.75
PO-00005812,2018-01-05,2018,2019-01-05,2018-01-05,2018-01-18,2018-01-18,Company10,Company10,Complete,5320.0,GBP,5320.0
PO-00005810,2018-01-05,2018,2019-01-05,2018-01-05,2018-01-05,2018-01-05,Company8,Company8,Complete,1100.0,GBP,1100.0
PO-00005809,2018-01-05,2018,2019-01-05,2018-01-08,2018-01-08,2018-01-08,Company11,Company11,Complete,940.0,GBP,940.0
PO-00005808,2018-01-05,2018,2019-01-05,2018-01-05,2018-01-08,2018-01-08,Company12,Company12,Complete,43.5,GBP,43.5
PO-00005803,2018-01-05,2018,2019-01-05,2018-01-05,2018-01-16,2018-01-16,Company8,Company8,Complete,23559.35,GBP,23559.35
PO-00005811,2018-01-05,2018,2019-01-05,2018-03-01,2018-03-08,2018-03-08,Company13,Company13,Complete,393.40000000000003,GBP,393.40000000000003
PO-00005816,2018-01-08,2018,2019-01-08,2018-02-14,2018-02-16,2018-02-16,Company13,Company13,Complete,22154.6,GBP,22154.6
PO-00005817,2018-01-08,2018,2019-01-08,2018-02-23,2018-02-14,2018-02-14,Company14,Company14,Complete,23329.8,GBP,23329.8
PO-00005818,2018-01-08,2018,2019-01-08,2018-01-08,2018-01-22,2018-01-22,Company15,Company15,Complete,1043.5,GBP,1043.5
PO-00005817/1,2018-01-08,2018,2019-01-08,2018-02-23,2018-02-19,2018-02-19,Company14,Company14,Complete,4438.2,GBP,4438.2
PO-00005820,2018-01-08,2018,2019-01-08,2018-01-08,2018-02-21,2018-02-21,Company16,Company16,Complete,2349.0,GBP,2349.0
PO-00005821,2018-01-08,2018,2019-01-08,2018-01-08,2018-01-16,2018-01-16,Company8,Company8,Complete,3516.05,GBP,3516.05
PO-00005826,2018-01-09,2018,2019-01-09,2018-01-25,2018-01-29,2018-01-29,Company6,Company6,Complete,2956.75,GBP,2956.75
PO-00005825,2018-01-09,2018,2019-01-09,2018-01-23,2018-01-12,2018-01-12,Company7,Company7,Complete,397.0,GBP,397.0
PO-00005823,2018-01-09,2018,2019-01-09,2018-01-09,2018-01-10,2018-01-10,Company12,Company12,Complete,285.0,GBP,285.0
PO-00005822,2018-01-09,2018,2019-01-09,2018-01-09,2018-01-11,2018-01-11,Company17,Company17,Complete,96.0,GBP,96.0
PO-00005828,2018-01-10,2018,2019-01-10,2018-01-10,2018-01-11,2018-01-11,Company18,Company18,Complete,896.25,GBP,896.25
PO-00005829,2018-01-10,2018,2019-01-10,2018-01-17,2018-01-22,2018-01-22,Company19,Company19,Complete,2450.4,GBP,2450.4
PO-00005830,2018-01-10,2018,2019-01-10,2018-01-10,2018-01-22,2018-01-22,Company20,Company20,Complete,266.4,GBP,266.4
PO-00005831,2018-01-10,2018,2019-01-10,2018-01-12,2018-01-12,2018-01-12,Company8,Company8,Complete,1014.5,GBP,1014.5
PO-00005832,2018-01-10,2018,2019-01-10,2018-02-13,2018-01-26,2018-01-26,Company21,Company21,Complete,1050.4,GBP,1050.4
PO-00005824/2,2018-01-11,2018,2019-01-11,2018-01-19,2018-02-20,2018-02-20,Company8,Company8,Complete,1968.75,GBP,1968.75
PO-00005824/3,2018-01-11,2018,2019-01-11,2018-01-19,2018-02-20,2018-02-20,Company8,Company8,Complete,1312.5,GBP,1312.5
PO-00005834/1,2018-01-11,2018,2019-01-11,2018-01-11,2018-02-02,2018-02-02,Company12,Company12,Complete,44.900000000000006,GBP,44.900000000000006
PO-00005824,2018-01-11,2018,2019-01-11,2018-01-19,2018-01-19,2018-01-19,Company8,Company8,Complete,32.475,GBP,32.475
PO-00005834,2018-01-11,2018,2019-01-11,2018-01-11,2018-01-12,2018-01-12,Company12,Company12,Complete,307.225,GBP,307.225
PO-00005833,2018-01-11,2018,2019-01-11,2018-01-11,2018-01-11,2018-01-11,Company22,Company22,Complete,0.0,GBP,0.0
PO-00005824/1,2018-01-11,2018,2019-01-11,2018-01-19,2018-01-22,2018-01-22,Company8,Company8,Complete,12464.275,GBP,12464.275
PO-00005837,2018-01-12,2018,2019-01-12,2018-01-19,2018-01-25,2018-01-25,Company23,Company23,Complete,65682.0,GBP,65682.0
PO-00005839,2018-01-12,2018,2019-01-12,2018-01-19,2018-01-29,2018-01-29,Company6,Company6,Complete,2129.6,GBP,2129.6
PO-00005837/1,2018-01-12,2018,2019-01-12,2018-01-19,2018-02-02,2018-02-02,Company23,Company23,Complete,5386.725,GBP,5386.725
PO-00005836/1,2018-01-12,2018,2019-01-12,2018-01-12,2018-02-02,2018-02-02,Company24,Company24,Complete,97.69999999999999,GBP,97.69999999999999
PO-00005837/2,2018-01-12,2018,2019-01-12,2018-01-19,2018-02-12,2018-02-12,Company23,Company23,Complete,133.5,GBP,133.5
PO-00005836/2,2018-01-12,2018,2019-01-12,2018-01-12,2018-03-15,2018-03-15,Company24,Company24,Complete,390.79999999999995,GBP,390.79999999999995
PO-00005836,2018-01-12,2018,2019-01-12,2018-01-12,2018-01-26,2018-01-26,Company24,Company24,Complete,488.5,GBP,488.5
PO-00005819,2018-01-12,2018,2019-01-12,2018-01-12,2018-01-15,2018-01-15,Company25,Company25,Complete,971.5,GBP,971.5
PO-00005838,2018-01-12,2018,2019-01-12,2018-01-12,2018-01-15,2018-01-15,Company26,Company26,Complete,322.2,GBP,322.2
PO-00005840/1,2018-01-15,2018,2019-01-15,2018-01-17,2018-01-24,2018-01-24,Company8,Company8,Complete,2280.625,GBP,2280.625
PO-00005841,2018-01-15,2018,2019-01-15,2018-01-15,2018-01-16,2018-01-16,Company27,Company27,Complete,37.5,GBP,37.5
PO-00005840,2018-01-15,2018,2019-01-15,2018-01-17,2018-01-22,2018-01-22,Company8,Company8,Complete,6841.875,GBP,6841.875
PO-00005842,2018-01-15,2018,2019-01-15,2018-01-15,2018-01-23,2018-01-23,Company28,Company28,Complete,2390.0,GBP,2390.0
PO-00005843,2018-01-16,2018,2019-01-16,2018-01-16,2018-01-16,2018-01-16,Company21,Company21,Complete,0.0,GBP,0.0
PO-00005844,2018-01-16,2018,2019-01-16,2018-01-16,2018-01-22,2018-01-22,Company12,Company12,Complete,2284.375,GBP,2284.375
PO-00005845,2018-01-16,2018,2019-01-16,2018-01-19,2018-01-26,2018-01-26,Company29,Company29,Complete,104.2,GBP,104.2
PO-00005846,2018-01-16,2018,2019-01-16,2018-01-16,2018-01-26,2018-01-26,Company29,Company29,Complete,72.1,GBP,72.1
PO-00005847,2018-01-16,2018,2019-01-16,2018-01-19,2018-01-22,2018-01-22,Company29,Company29,Complete,13.525,GBP,13.525
PO-00005850,2018-01-17,2018,2019-01-17,2018-01-17,2018-01-18,2018-01-18,Company30,Company30,Complete,375.0,GBP,375.0
PO-00005851,2018-01-17,2018,2019-01-17,2018-01-17,2018-02-07,2018-02-07,Company31,Company31,Complete,1902.375,GBP,1902.375
PO-00005852,2018-01-17,2018,2019-01-17,2018-01-17,2018-01-17,2018-01-17,Company32,Company32,Complete,132.5,GBP,132.5
PO-00005848,2018-01-17,2018,2019-01-17,2018-01-31,2018-01-23,2018-01-23,Company33,Company33,Complete,3733.2,GBP,3733.2
PO-00005849,2018-01-17,2018,2019-01-17,2018-01-17,2018-01-24,2018-01-24,Company8,Company8,Complete,1482.3500000000001,GBP,1482.3500000000001
PO-00005892,2018-01-18,2018,2019-01-18,2018-01-29,2018-01-29,2018-01-29,Company34,Company34,Complete,579500.0,EUR,507620.875
PO-00005879,2018-01-18,2018,2019-01-18,2018-01-18,2018-01-26,2018-01-26,Company8,Company8,Complete,297222.05000000005,GBP,297222.05000000005
PO-00005854,2018-01-18,2018,2019-01-18,2018-01-22,2018-01-22,2018-01-22,Company8,Company8,Complete,2631.2,GBP,2631.2
PO-00005855,2018-01-18,2018,2019-01-18,2018-02-08,2018-02-05,2018-02-05,Company35,Company35,Complete,3756.0,GBP,3756.0
PO-00005856,2018-01-18,2018,2019-01-18,2018-03-05,2018-02-09,2018-02-09,Company36,Company36,Complete,6110.0,GBP,6110.0
PO-00005857,2018-01-18,2018,2019-01-18,2018-01-25,2018-01-29,2018-01-29,Company37,Company37,Complete,509.625,GBP,509.625
PO-00005858,2018-01-19,2018,2019-01-19,2018-03-30,2018-04-04,2018-04-04,Company38,Company38,Complete,3125.0,GBP,3125.0
PO-00005858/1,2018-01-19,2018,2019-01-19,2018-03-30,2018-04-16,2018-04-16,Company38,Company38,Complete,1562.5,GBP,1562.5
PO-00005861,2018-01-22,2018,2019-01-22,2018-01-22,2018-01-29,2018-01-29,Company39,Company39,Complete,1113.9,GBP,1113.9
PO-00005861/1,2018-01-22,2018,2019-01-22,2018-01-22,2018-01-31,2018-01-31,Company39,Company39,Complete,960.0,GBP,960.0
PO-00005863,2018-01-22,2018,2019-01-22,2018-01-22,2018-01-23,2018-01-23,Company30,Company30,Complete,247.925,GBP,247.925
PO-00005859,2018-01-22,2018,2019-01-22,2018-01-22,2018-01-22,2018-01-22,Company12,Company12,Complete,91.375,GBP,91.375
PO-00005860,2018-01-22,2018,2019-01-22,2018-01-22,2018-01-23,2018-01-23,Company22,Company22,Complete,375.0,GBP,375.0
PO-00005862,2018-01-22,2018,2019-01-22,2018-01-22,2018-01-30,2018-01-30,Company40,Company40,Complete,3320.0,GBP,3320.0
PO-00005866,2018-01-23,2018,2019-01-23,2018-01-31,2018-01-24,2018-01-24,Company41,Company41,Complete,160.2,GBP,160.2
PO-00005865,2018-01-23,2018,2019-01-23,2018-01-23,2018-01-29,2018-01-29,Company19,Company19,Complete,3634.45,GBP,3634.45
PO-00005864,2018-01-23,2018,2019-01-23,2018-02-07,2018-02-05,2018-02-05,Company8,Company8,Complete,23235.524999999998,GBP,23235.524999999998
PO-00005865/1,2018-01-23,2018,2019-01-23,2018-01-23,2018-01-30,2018-01-30,Company19,Company19,Complete,1804.0,GBP,1804.0
PO-00005864/1,2018-01-23,2018,2019-01-23,2018-02-07,2018-02-14,2018-02-14,Company8,Company8,Complete,2699.5,GBP,2699.5
PO-00005872/1,2018-01-24,2018,2019-01-24,2018-01-24,2018-02-09,2018-02-09,Company42,Company42,Complete,1428.4,GBP,1428.4
PO-00005872/2,2018-01-24,2018,2019-01-24,2018-01-24,2018-03-15,2018-03-15,Company42,Company42,Complete,357.1,GBP,357.1
PO-00005873,2018-01-24,2018,2019-01-24,2018-02-02,2018-01-25,2018-01-25,Company43,Company43,Complete,999.375,GBP,999.375
PO-00005867,2018-01-24,2018,2019-01-24,2018-03-07,2018-03-20,2018-03-20,Company44,Company44,Complete,4875.400000000001,GBP,4875.400000000001
PO-00005868,2018-01-24,2018,2019-01-24,2018-01-24,2018-01-31,2018-01-31,Company12,Company12,Complete,164.5,GBP,164.5
PO-00005869,2018-01-24,2018,2019-01-24,2018-01-24,2018-01-31,2018-01-31,Company45,Company45,Complete,2670.0,GBP,2670.0
PO-00005870,2018-01-24,2018,2019-01-24,2018-01-24,2018-01-31,2018-01-31,Company4,Company4,Complete,1987.2,GBP,1987.2
PO-00005871,2018-01-24,2018,2019-01-24,2018-02-02,2018-02-02,2018-02-02,Company6,Company6,Complete,1312.5,GBP,1312.5
PO-00005872,2018-01-24,2018,2019-01-24,2018-01-24,2018-02-02,2018-02-02,Company42,Company42,Complete,3571.0,GBP,3571.0
PO-00005874,2018-01-24,2018,2019-01-24,2018-01-24,2018-02-12,2018-02-12,Company46,Company46,Complete,698.4000000000001,GBP,698.4000000000001
PO-00005876,2018-01-25,2018,2019-01-25,2018-02-08,2018-01-30,2018-01-30,Company7,Company7,Complete,380.0,GBP,380.0
PO-00005877,2018-01-25,2018,2019-01-25,2018-01-25,2018-02-09,2018-02-09,Company5,Company5,Complete,1058.1999999999998,GBP,1058.1999999999998
PO-00005887,2018-01-26,2018,2019-01-26,2018-01-26,2018-02-08,2018-02-08,Company47,Company47,Complete,11542.5,GBP,11542.5
PO-00005883,2018-01-26,2018,2019-01-26,2018-02-19,2018-02-19,2018-02-19,Company10,Company10,Complete,3847.6749999999997,GBP,3847.6749999999997
PO-00005883/1,2018-01-26,2018,2019-01-26,2018-02-19,2018-02-23,2018-02-23,Company10,Company10,Complete,61.325,GBP,61.325
PO-00005887/1,2018-01-26,2018,2019-01-26,2018-04-13,2018-04-06,2018-04-06,Company47,Company47,Complete,14235.75,GBP,14235.75
PO-00005885,2018-01-26,2018,2019-01-26,2018-02-09,2018-02-13,2018-02-13,Company13,Company13,Complete,534.6500000000001,GBP,534.6500000000001
PO-00005886,2018-01-26,2018,2019-01-26,2018-01-26,2018-01-30,2018-01-30,Company48,Company48,Complete,2019.9,GBP,2019.9
PO-00005888,2018-01-26,2018,2019-01-26,2018-01-26,2018-01-26,2018-01-26,Company49,Company49,Complete,0.0,GBP,0.0
PO-00005880,2018-01-26,2018,2019-01-26,2018-01-26,2018-02-01,2018-02-01,Company33,Company33,Complete,535.8,GBP,535.8
PO-00005882,2018-01-26,2018,2019-01-26,2018-01-26,2018-01-30,2018-01-30,Company50,Company50,Complete,1730.3999999999999,GBP,1730.3999999999999
PO-00005878,2018-01-26,2018,2019-01-26,2018-01-26,2018-03-02,2018-03-02,Company40,Company40,Complete,4320.8,GBP,4320.8
PO-00005889,2018-01-26,2018,2019-01-26,2018-01-26,2018-01-29,2018-01-29,Company29,Company29,Complete,85.25,GBP,85.25
PO-00005890,2018-01-29,2018,2019-01-29,2018-01-29,2018-01-31,2018-01-31,Company51,Company51,Complete,1305.0,GBP,1305.0
PO-00005893,2018-01-29,2018,2019-01-29,2018-01-29,2018-01-30,2018-01-30,Company41,Company41,Complete,293.65,GBP,293.65
PO-00005890/1,2018-01-29,2018,2019-01-29,2018-01-29,2018-01-31,2018-01-31,Company51,Company51,Complete,1305.0,GBP,1305.0
PO-00005894,2018-01-30,2018,2019-01-30,2018-01-30,2018-02-01,2018-02-01,Company29,Company29,Complete,53.575,GBP,53.575
PO-00005897,2018-01-30,2018,2019-01-30,2018-02-14,2018-02-15,2018-02-15,Company3,Company3,Complete,2499.2,GBP,2499.2
PO-00005895,2018-01-30,2018,2019-01-30,2018-01-30,2018-01-31,2018-01-31,Company52,Company52,Complete,0.0,GBP,0.0
PO-00005896,2018-01-30,2018,2019-01-30,2018-02-01,2018-02-02,2018-02-02,Company51,Company51,Complete,5220.0,GBP,5220.0
PO-00005898,2018-01-30,2018,2019-01-30,2018-01-30,2018-02-02,2018-02-02,Company26,Company26,Complete,1272.0,GBP,1272.0
PO-00005899,2018-01-30,2018,2019-01-30,2018-01-31,2018-01-31,2018-01-31,Company8,Company8,Complete,760.725,GBP,760.725
PO-00005900,2018-01-30,2018,2019-01-30,2018-01-30,2018-03-02,2018-03-02,Company53,Company53,Complete,257.55,GBP,257.55
PO-00005899/1,2018-01-30,2018,2019-01-30,2018-01-31,2018-01-31,2018-01-31,Company8,Company8,Complete,1268.25,GBP,1268.25
PO-00005903,2018-01-31,2018,2019-01-31,2018-02-01,2018-02-01,2018-02-01,Company52,Company52,Complete,1277.3999999999999,GBP,1277.3999999999999
PO-00005891,2018-01-31,2018,2019-01-31,2018-02-09,2018-02-07,2018-02-07,Company8,Company8,Complete,577.05,GBP,577.05
PO-00005901,2018-01-31,2018,2019-01-31,2018-01-31,2018-02-05,2018-02-05,Company37,Company37,Complete,456.0,GBP,456.0
PO-00005891/2,2018-01-31,2018,2019-01-31,2018-02-09,2018-02-08,2018-02-08,Company8,Company8,Complete,547.2,GBP,547.2
PO-00005891/1,2018-01-31,2018,2019-01-31,2018-02-09,2018-02-07,2018-02-07,Company8,Company8,Complete,24221.5,GBP,24221.5
PO-00005901/1,2018-01-31,2018,2019-01-31,2018-01-31,2018-02-07,2018-02-07,Company37,Company37,Complete,218.825,GBP,218.825
PO-00005904,2018-01-31,2018,2019-01-31,2018-01-31,2018-02-09,2018-02-09,Company6,Company6,Complete,825.0,GBP,825.0
PO-00005902,2018-01-31,2018,2019-01-31,2018-01-31,2018-02-08,2018-02-08,Company54,Company54,Complete,656.25,GBP,656.25
PO-00005906/1,2018-02-01,2018,2019-02-01,2018-02-01,2018-02-20,2018-02-20,Company8,Company8,Complete,1330.0,GBP,1330.0
PO-00005906,2018-02-01,2018,2019-02-01,2018-02-01,2018-02-12,2018-02-12,Company8,Company8,Complete,15406.925000000001,GBP,15406.925000000001
PO-00006199,2018-02-01,2018,2019-02-01,2018-02-05,2018-04-16,2018-04-16,Company52,Company52,Complete,648.625,GBP,648.625
PO-00005905,2018-02-01,2018,2019-02-01,2018-02-08,2018-02-13,2018-02-13,Company13,Company13,Complete,476.925,GBP,476.925
PO-00005917/1,2018-02-02,2018,2019-02-02,2018-02-02,2018-02-06,2018-02-06,Company6,Company6,Complete,18125.0,GBP,18125.0
PO-00005907/2,2018-02-02,2018,2019-02-02,2018-02-02,2018-02-19,2018-02-19,Company12,Company12,Complete,285.0,GBP,285.0
PO-00005907/1,2018-02-02,2018,2019-02-02,2018-02-02,2018-02-07,2018-02-07,Company12,Company12,Complete,337.5,GBP,337.5
PO-00005914,2018-02-02,2018,2019-02-02,2018-02-28,2018-02-23,2018-02-23,Company5,Company5,Complete,2276.025,GBP,2276.025
PO-00005913,2018-02-02,2018,2019-02-02,2018-02-02,2018-05-21,2018-05-21,Company55,Company55,Complete,315.65000000000003,GBP,315.65000000000003
PO-00005907,2018-02-02,2018,2019-02-02,2018-02-02,2018-02-05,2018-02-05,Company12,Company12,Complete,2284.375,GBP,2284.375
PO-00005917,2018-02-02,2018,2019-02-02,2018-02-02,2018-02-05,2018-02-05,Company6,Company6,Complete,4152.0,GBP,4152.0
PO-00005916,2018-02-02,2018,2019-02-02,2018-02-02,2018-02-07,2018-02-07,Company12,Company12,Complete,90.9,GBP,90.9
PO-00005908,2018-02-02,2018,2019-02-02,2018-02-02,2018-02-05,2018-02-05,Company25,Company25,Complete,65.0,GBP,65.0
PO-00005915,2018-02-02,2018,2019-02-02,2018-02-28,2018-02-26,2018-03-02,Company10,Company10,Complete,4092.45,GBP,4092.45
PO-00005912,2018-02-02,2018,2019-02-02,2018-02-09,2018-02-13,2018-02-13,Company6,Company6,Complete,1167.25,GBP,1167.25
PO-00005911,2018-02-02,2018,2019-02-02,2018-02-02,2018-02-16,2018-02-16,Company20,Company20,Complete,760.1,GBP,760.1
PO-00005909,2018-02-02,2018,2019-02-02,2018-02-02,2018-03-08,2018-03-08,Company13,Company13,Complete,78.8,GBP,78.8
PO-00005910,2018-02-02,2018,2019-02-02,2018-02-02,2018-02-19,2018-02-19,Company56,Company56,Complete,1215.0,GBP,1215.0
PO-00005922,2018-02-05,2018,2019-02-05,2018-03-12,2018-03-09,2018-03-09,Company57,Company57,Complete,1745.0,GBP,1745.0
PO-00005921,2018-02-05,2018,2019-02-05,2018-02-05,2018-02-06,2018-02-06,Company21,Company21,Complete,606.0,GBP,606.0
PO-00005920,2018-02-05,2018,2019-02-05,2018-02-05,2018-02-07,2018-02-07,Company18,Company18,Complete,3470.0,GBP,3470.0
PO-00005924/2,2018-02-06,2018,2019-02-06,2018-02-08,2018-02-12,2018-02-12,Company8,Company8,Complete,987.45,GBP,987.45
PO-00005924/1,2018-02-06,2018,2019-02-06,2018-02-08,2018-02-08,2018-02-08,Company8,Company8,Complete,2465.85,GBP,2465.85
PO-00005884,2018-02-06,2018,2019-02-06,2018-02-06,2018-02-12,2018-02-12,Company19,Company19,Complete,1613.5,GBP,1613.5
PO-00005924,2018-02-06,2018,2019-02-06,2018-02-08,2018-02-08,2018-02-08,Company8,Company8,Complete,4213.825,GBP,4213.825
PO-00005928,2018-02-06,2018,2019-02-06,2018-02-12,2018-02-12,2018-02-12,Company8,Company8,Complete,28404.925,GBP,28404.925
PO-00005927,2018-02-06,2018,2019-02-06,2018-02-26,2018-02-26,2018-02-26,Company10,Company10,Complete,13399.75,GBP,13399.75
PO-00005926,2018-02-06,2018,2019-02-06,2018-02-06,2018-02-07,2018-02-07,Company20,Company20,Complete,126.0,GBP,126.0
PO-00005923,2018-02-06,2018,2019-02-06,2018-02-06,2018-02-07,2018-02-07,Company41,Company41,Complete,274.925,GBP,274.925
PO-00005936,2018-02-07,2018,2019-02-07,2018-02-07,2018-02-12,2018-02-12,Company58,Company58,Complete,1123.5,GBP,1123.5
PO-00005933,2018-02-07,2018,2019-02-07,2018-02-28,2018-03-02,2018-03-02,Company31,Company31,Complete,3103.65,GBP,3103.65
PO-00005932,2018-02-07,2018,2019-02-07,2018-04-11,2018-03-13,2018-03-13,Company13,Company13,Complete,6963.35,GBP,6963.35
PO-00005931,2018-02-07,2018,2019-02-07,2018-02-07,2018-03-08,2018-03-08,Company6,Company6,Complete,1541.0,GBP,1541.0
PO-00005930,2018-02-07,2018,2019-02-07,2018-02-21,2018-02-15,2018-02-15,Company8,Company8,Complete,3226.8,GBP,3226.8
PO-00005930/1,2018-02-07,2018,2019-02-07,2018-02-21,2018-02-15,2018-02-15,Company8,Company8,Complete,3848.325,GBP,3848.325
PO-00005919,2018-02-07,2018,2019-02-07,2018-03-21,2018-04-20,2018-04-20,Company13,Company13,Complete,418.775,GBP,418.775
PO-00005934,2018-02-07,2018,2019-02-07,2018-02-07,2018-02-13,2018-02-13,Company24,Company24,Complete,1297.6750000000002,GBP,1297.6750000000002
PO-00005935,2018-02-07,2018,2019-02-07,2018-02-07,2018-02-12,2018-02-12,Company19,Company19,Complete,5933.75,GBP,5933.75
PO-00005937,2018-02-08,2018,2019-02-08,2018-02-08,2018-02-15,2018-02-15,Company55,Company55,Complete,3332.5,GBP,3332.5
PO-00005942,2018-02-08,2018,2019-02-08,2018-02-08,2018-02-16,2018-02-16,Company39,Company39,Complete,607.9,GBP,607.9
PO-00006074,2018-02-08,2018,2019-02-08,2018-03-08,2018-03-09,2018-03-09,Company59,Company59,Complete,16062.5,GBP,16062.5
PO-00005938,2018-02-08,2018,2019-02-08,2018-02-08,2018-02-20,2018-02-20,Company19,Company19,Complete,4438.8,GBP,4438.8
PO-00005949,2018-02-09,2018,2019-02-09,2018-02-26,2018-02-15,2018-02-15,Company8,Company8,Complete,20563.875,GBP,20563.875
PO-00005944,2018-02-09,2018,2019-02-09,2018-02-09,2018-02-15,2018-02-15,Company19,Company19,Complete,1700.0,GBP,1700.0
PO-00005953/1,2018-02-09,2018,2019-02-09,2018-04-30,2018-04-25,2018-04-25,Company8,Company8,Complete,16939.425000000003,GBP,16939.425000000003
PO-00005944/1,2018-02-09,2018,2019-02-09,2018-03-05,2018-03-13,2018-03-13,Company19,Company19,Complete,2406.7,GBP,2406.7
PO-00005949/2,2018-02-09,2018,2019-02-09,2018-04-30,2018-04-26,2018-04-26,Company8,Company8,Complete,5600.475,GBP,5600.475
PO-00005943,2018-02-09,2018,2019-02-09,2018-02-09,2018-02-12,2018-02-12,Company12,Company12,Complete,2284.375,GBP,2284.375
PO-00005948,2018-02-09,2018,2019-02-09,2018-03-09,2018-03-09,2018-03-09,Company60,Company60,Complete,2053.5,GBP,2053.5
PO-00005949/1,2018-02-09,2018,2019-02-09,2018-02-26,2018-02-16,2018-02-16,Company8,Company8,Complete,3082.625,GBP,3082.625
PO-00005945,2018-02-09,2018,2019-02-09,2018-02-09,2018-02-15,2018-02-15,Company35,Company35,Complete,676.5,GBP,676.5
PO-00005946,2018-02-09,2018,2019-02-09,2018-02-16,2018-02-20,2018-02-20,Company4,Company4,Complete,1134.0,GBP,1134.0
PO-00005954,2018-02-09,2018,2019-02-09,2018-02-09,2018-02-15,2018-02-15,Company61,Company61,Complete,3039.625,GBP,3039.625
PO-00005947,2018-02-09,2018,2019-02-09,2018-02-19,2018-02-19,2018-02-19,Company62,Company62,Complete,2051.4500000000003,GBP,2051.4500000000003
PO-00005953,2018-02-09,2018,2019-02-09,2018-02-14,2018-02-15,2018-02-15,Company8,Company8,Complete,13535.625,GBP,13535.625
PO-00005952,2018-02-09,2018,2019-02-09,2018-02-09,2018-02-12,2018-02-12,Company52,Company52,Complete,29.625,GBP,29.625
PO-00005951,2018-02-09,2018,2019-02-09,2018-02-09,2018-03-29,2018-03-29,Company6,Company6,Complete,2662.0,GBP,2662.0
PO-00005950,2018-02-09,2018,2019-02-09,2018-03-27,2018-04-20,2018-04-20,Company13,Company13,Complete,372.95000000000005,GBP,372.95000000000005
PO-00005961/2,2018-02-12,2018,2019-02-12,2018-02-12,2018-02-26,2018-02-26,Company12,Company12,Complete,77.5,GBP,77.5
PO-00005967/2,2018-02-12,2018,2019-02-12,2018-02-26,2018-02-23,2018-02-23,Company8,Company8,Complete,538.2,GBP,538.2
PO-00005967/1,2018-02-12,2018,2019-02-12,2018-02-26,2018-02-21,2018-02-21,Company8,Company8,Complete,9279.375,GBP,9279.375
PO-00005970/1,2018-02-12,2018,2019-02-12,2018-03-30,2018-03-06,2018-03-06,Company63,Company63,Complete,492.75,GBP,492.75
PO-00005961/1,2018-02-12,2018,2019-02-12,2018-02-12,2018-02-26,2018-02-26,Company12,Company12,Complete,294.5,GBP,294.5
PO-00005964/1,2018-02-12,2018,2019-02-12,2018-03-12,2018-03-08,2018-03-08,Company6,Company6,Complete,577.3,GBP,577.3
PO-00005955/1,2018-02-12,2018,2019-02-12,2018-02-12,2018-03-19,2018-03-19,Company22,Company22,Complete,7125.0,GBP,7125.0
PO-00005964/2,2018-02-12,2018,2019-02-12,2018-03-12,2018-03-13,2018-03-13,Company6,Company6,Complete,2472.5,GBP,2472.5
PO-00005964,2018-02-12,2018,2019-02-12,2018-03-12,2018-02-23,2018-02-23,Company6,Company6,Complete,3608.125,GBP,3608.125
PO-00005959,2018-02-12,2018,2019-02-12,2018-02-23,2018-02-15,2018-02-15,Company7,Company7,Complete,160.0,GBP,160.0
PO-00005969,2018-02-12,2018,2019-02-12,2018-02-27,2018-02-26,2018-02-26,Company20,Company20,Complete,1906.45,GBP,1906.45
PO-00005966,2018-02-12,2018,2019-02-12,2018-02-12,2018-03-02,2018-03-02,Company40,Company40,Complete,12908.55,GBP,12908.55
